word_form,part_of_speech,lemgram,compound,raw_frequency,relative_frequency
feet,NNS,__UNDEF__,+,146,196.425064
near,IN,__UNDEF__,+,146,196.425064
mind,NN,__UNDEF__,+,145,195.079687
nor,CC,__UNDEF__,+,144,193.73431
point,NN,__UNDEF__,+,144,193.73431
quickly,RB,__UNDEF__,+,144,193.73431
rest,NN,__UNDEF__,+,143,192.388932
Berger,NP,__UNDEF__,+,143,192.388932
company,NN,__UNDEF__,+,143,192.388932
money,NN,__UNDEF__,+,142,191.043555
Hedestad,NP,__UNDEF__,+,141,189.698178
couple,NN,__UNDEF__,+,141,189.698178
That,WDT,__UNDEF__,+,141,189.698178
became,VBD,__UNDEF__,+,141,189.698178
above,IN,__UNDEF__,+,141,189.698178
full,JJ,__UNDEF__,+,141,189.698178
times,NNS,__UNDEF__,+,140,188.352801
question,NN,__UNDEF__,+,140,188.352801
human,JJ,__UNDEF__,+,140,188.352801
bad,JJ,__UNDEF__,+,140,188.352801
goblins,NNS,__UNDEF__,+,140,188.352801
cold,JJ,__UNDEF__,+,138,185.662047
different,JJ,__UNDEF__,+,137,184.316669
heart,NN,__UNDEF__,+,137,184.316669
Here,RB,__UNDEF__,+,137,184.316669
red,JJ,__UNDEF__,+,137,184.316669
hobbit,NN,__UNDEF__,+,137,184.316669
at_last,RB,__UNDEF__,+,136,182.971292
back,NN,__UNDEF__,+,136,182.971292
later,RBR,__UNDEF__,+,135,181.625915
making,VBG,__UNDEF__,+,134,180.280538
short,JJ,__UNDEF__,+,134,180.280538
during,IN,__UNDEF__,+,134,180.280538
nice,JJ,__UNDEF__,+,133,178.935161
got,VBN,__UNDEF__,+,133,178.935161
be,__UNDEF__,__UNDEF__,+,133,178.935161
Mr.,NP,__UNDEF__,+,133,178.935161
summer,NN,__UNDEF__,+,133,178.935161
road,NN,__UNDEF__,+,132,177.589784
hours,NNS,__UNDEF__,+,132,177.589784
leave,VB,__UNDEF__,+,132,177.589784
wall,NN,__UNDEF__,+,132,177.589784
filled,VBN,__UNDEF__,+,130,174.899029
cabin,NN,__UNDEF__,+,130,174.899029
have,__UNDEF__,__UNDEF__,+,129,173.553652
